Distrito,Concelho,CodDistritoConcelho,P_IP_TOTAL,P_IP_Inef,Rate_Ineficiencia,Cap_PTD,Util_Media,N_PTDs,Ganho_LED,PFolga,PVE,D
Faro,São Brás de Alportel,812,283.3234005966186,141.73999999999998,0.5002763615766498,21260,0.6292233009708738,107,92.13099999999999,7252.095611650487,1412.3999999999999,5931.826611650487
Faro,Silves,813,908.6937012424469,400.195,0.44040692639644996,133485,0.5012649572649572,593,260.12675,61247.75540512821,7827.599999999999,53680.28215512822
Faro,Tavira,814,857.4447037906647,281.32,0.32809112792500383,96410,0.5016752577319588,394,182.858,44200.00932989691,5200.8,39182.067329896905
Faro,Vila do Bispo,815,238.23500130844116,83.015,0.34845845297316774,33415,0.37813559322033896,121,53.95975,19117.231220338985,1597.2,17573.990970338986
Faro,Vila Real de Santo António,816,530.2743009223938,221.29000000000002,0.41731232234915727,55180,0.5740298507462687,142,143.8385,21624.630208955226,1874.3999999999999,19894.068708955227
Guarda,Aguiar da Beira,901,225.73130012893677,66.80499999999999,0.29594921024173987,14790,0.5160176991150442,116,43.423249999999996,6585.450371681416,1531.2,5097.673621681416
Guarda,Almeida,902,365.3771002578735,68.63999999999999,0.18786070597077836,17633,0.4479545454545455,137,44.61599999999999,8955.480099999999,1808.3999999999999,7191.696099999999
Guarda,Celorico da Beira,903,269.78160001373294,5.54,0.02053512915527965,16470,0.4753900709219858,144,3.601,7949.099489361703,1900.8,6051.900489361702
Guarda,Figueira de Castelo Rodrigo,904,312.27300003433226,112.54,0.3603897871017572,15070,0.42339130434782607,124,73.15100000000001,7994.3336,1636.8,6430.6846
Guarda,Fornos de Algodres,905,190.79070008850096,8.5,0.04455143775905825,9816,0.4375,89,5.525,5079.780000000001,1174.8,3910.505
Guarda,Gouveia,906,567.7020987739563,263.32,0.4638348185935577,25363,0.5007236842105263,153,171.15800000000002,11650.09358157895,2019.6,9801.65158157895
Guarda,Guarda,907,1167.3568999977113,131.695,0.11281468418121159,104049,0.46913555992141454,523,85.60175,50817.0409956778,6903.599999999999,43999.042745677805
Guarda,Manteigas,908,197.475,194.23000000000002,0.9835675401949615,7000,0.54,36,126.24950000000001,2962.3999999999996,475.2,2613.4494999999997
Guarda,Mêda,909,183.168,0.0,0.0,13600,0.38341666666666663,125,0.0,7714.690666666667,1650.0,6064.690666666667
Guarda,Pinhel,910,378.8654000091553,85.485,0.2256342225970866,22405,0.4287209302325581,184,55.56525,11775.546953488374,2428.7999999999997,9402.312203488375
Guarda,Sabugal,911,500.37380000305177,20.45,0.04086944600191952,31276,0.4770238095238095,261,13.2925,15048.075066666668,3445.2,11616.167566666667
Guarda,Seia,912,542.575,0.8200000000000001,0.0015113118002119522,44411,0.5224902723735408,262,0.533,19510.149752529185,3458.4,16052.282752529185
Guarda,Trancoso,913,431.63470009613036,93.03,0.21552947429685582,22911,0.5041875,177,60.469500000000004,10450.7953725,2336.4,8174.8648725
Guarda,Vila Nova de Foz Côa,914,253.69140002441407,15.360000000000003,0.06054600194772795,18660,0.463030303030303,149,9.984000000000002,9218.266181818182,1966.8,7261.4501818181825
Leiria,Alcobaça,1001,1267.69550343132,546.7,0.4312549808059003,130335,0.5571933085501859,554,355.355,53096.15331970261,7312.8,46138.70831970261
Leiria,Alvaiázere,1002,273.2832014312744,62.644999999999996,0.22923106752228983,18035,0.4706451612903226,128,40.719249999999995,8783.161354838709,1689.6,7134.280604838708
Leiria,Ansião,1003,339.9068013305664,0.0,0.0,25198,0.5162328767123288,149,0.0,11214.766854794521,1966.8,9247.966854794522
Leiria,Batalha,1004,319.60750201797487,104.237,0.3261406548402536,31245,0.5823529411764705,157,67.75404999999999,12005.431764705885,2072.4,10000.785814705885
Leiria,Bombarral,1005,191.70830019760132,6.41,0.03343621529893573,26195,0.6045238095238096,128,4.1665,9530.738904761904,1689.6,7845.3054047619025
Leiria,Caldas da Rainha,1006,779.7924995002746,50.07,0.06420938907733412,104190,0.577458432304038,429,32.545500000000004,40502.637463182895,5662.8,34872.38296318289
Leiria,Castanheira de Pêra,1007,123.03940045166016,28.06,0.22805702804951686,5970,0.5140476190476191,42,18.239,2669.0448571428574,554.4,2132.8838571428573
Leiria,Figueiró dos Vinhos,1008,256.78550131988527,77.39,0.3013799439696285,12367,0.4618947368421053,100,50.3035,6122.367966315789,1320.0,4852.671466315789
Leiria,Leiria,1009,2333.1450936660767,1132.675,0.48547130783890724,272905,0.5770498474059003,1015,736.23875,106191.19448219737,13398.0,93529.43323219738
Leiria,Marinha Grande,1010,547.1648019065857,225.16000000000003,0.41150307771156724,74590,0.5272146118721461,225,146.354,32443.857132420093,2970.0,29620.211132420092
Leiria,Nazaré,1011,259.09770050811767,74.11500000000001,0.28605039664440385,34585,0.5788461538461539,107,48.17475000000001,13400.357307692306,1412.3999999999999,12036.132057692306
Leiria,Óbidos,1012,295.6641999092102,14.870000000000001,0.050293542486936675,54800,0.5089385474860335,183,9.665500000000002,24757.354189944133,2415.6,22351.419689944134
Leiria,Pedrógão Grande,1013,154.8737007789612,11.52,0.0743831905743737,9636,0.51859375,70,7.4879999999999995,4267.724175,924.0,3351.2121750000006
Leiria,Peniche,1014,439.0904980812073,10.57,0.02407248630109308,45185,0.6157333333333334,154,6.870500000000001,15974.042186666667,2032.8,13948.11268666667
